Land_Use_Code,Abbrv
CM1,BFC3
CM1,BFC4
CM1,BFC6
CM1,BFI1
CM1,BFI2
CM1,BFI3
CM1,BFPA
CM1,BFT10
CM2,BFC3
CM2,BFC4
CM2,BFC6
CM2,BFI1
CM2,BFI2
CM2,BFI3
CM2,BFPA
CM2,BFPR
CM2,BFT10
CM2,BFT20
CM3,BFC3
CM3,BFC4
CM3,BFC6
CM3,BFI2
CM3,BFI3
CM3,BFPA
CM3,BFT10
CM3,BFT15
CM3,BFT20
CM3,BFT30
CM4,BFC3
CM4,BFC4
CM4,BFC6
CM4,BFI2
CM4,BFI3
CM4,BFPA
CM4,BFT10
CM4,BFT15
CM4,BFT20
CM4,BFT30
DT1,BFC4
DT1,BFC50
DT1,BFC6
DT1,BFI3
DT1,BFPA
DT1,BFT10
DT1,BFT20
DT1,BFT30
DT2,BFC50
DT2,BFC6
DT2,BFI3
DT2,BFPA
DT2,BFT10
DT2,BFT20
DT2,BFT30
PR1,BFC3
PR1,BFC4
PR1,BFC6
PR1,BFI2
PR1,BFI3
PR1,BFPA
PR1,BFPR
PR1,BFT10
PR1,BFT15
PR1,BFT30
PR2,BFC3
PR2,BFC4
PR2,BFC6
PR2,BFI2
PR2,BFI3
PR2,BFPA
PR2,BFPR
PR2,BFT10
PR2,BFT15
PR2,BFT20
PR2,BFT30
RM1,BFC3
RM1,BFC4
RM1,BFC6
RM1,BFI1
RM1,BFI2
RM1,BFI3
RM1,BFPA
RM1,BFT10
RM1,BFT15
RM2,BFC4
RM2,BFC6
RM2,BFI2
RM2,BFI3
RM3,BFC4
RM3,BFC6
RM3,BFI2
RM3,BFI3
RM3,BFPA
RM3,BFPR
RM3,BFT10
RM3,BFT15
RM3,BFT20
RM3,BFT30
TR1,BFC4
TR1,BFC6
TR1,BFI1
TR1,BFI2
TR1,BFI3
TR1,BFPA
TR1,BFPR
TR1,BFT10
TR1,BFT15
TR1,BFT20
TR1,BFT30
UN1,BFC3
UN1,BFC4
UN1,BFC6
UN1,BFI1
UN1,BFI2
UN1,BFI3
UN1,BFPA
UN1,BFPR
UN1,BFT10
UN2,BFC3
UN2,BFC4
UN2,BFC6
UN2,BFI1
UN2,BFI2
UN2,BFI3
UN2,BFPA
UN2,BFPR
UN2,BFT10
UN2,BFT15
UN2,BFT30
UN3,BFC3
UN3,BFC4
UN3,BFC6
UN3,BFI1
UN3,BFI2
UN3,BFI3
UN3,BFPA
UN3,BFPR
UN3,BFT10
UN3,BFT15
UN3,BFT20
UN3,BFT30
